message_id,action,message_type,reason,confidence,evidence_message_ids
msg_074,mute,group,Routine group message.,0.558,"message_0358,message_0223"
msg_073,mute,group,Routine group message.,0.54,"message_0024,message_0201"
msg_054,notify,scam,Suspicious content detected.,0.672,"message_0163,message_0164"
msg_068,mute,group,Routine group message.,0.575,"message_0191,message_0192"
msg_100,notify,scam,Suspicious content detected.,0.739,"message_0362,message_0228"
msg_062,mute,group,Routine group message.,0.625,"message_0043,message_0001"
msg_096,mute,group,Routine group message.,0.514,"message_0353,message_0354"
msg_043,mute,group,Routine group message.,0.628,"message_0216,message_0130"
msg_077,mute,group,Routine group message.,0.646,"message_0403,message_0051"
msg_081,mute,group,Routine group message.,0.547,"message_0217,message_0106"
msg_025,summarize,promotion,Promotional message.,0.851,"message_0239,message_0004"
msg_084,summarize,promotion,Promotional message.,0.682,"message_0220,message_0388"
msg_022,notify,scam,Suspicious content detected.,0.693,"message_0099,message_0100"
